"id","material"
318,"Black Oak"
319,"Cherry"
320,"Ambrosia Maple"
321,"Black Oak"
322,"Black Oak"
323,"Box Elder"
324,"Spalted Pecan"
325,"Black Oak"
326,"Maple Burl"
327,"Black Oak Burl"
328,"Ambrosia Maple"
329,"Spalted Pecan"
330,"Ambrosia Maple"
331,"Cherry Burl"
332,"Ambrosia Maple"
333,"Maple"
334,"Box Elder"
335,"Ambrosia Maple"
336,"Spalted Pecan"
337,"Spalted Pecan"
338,"Spalted Pecan"
339,"Box Elder"
340,"Box Elder"
341,"Box Elder"
342,"Box Elder"
343,"Box Elder"
344,"Cherry"
345,"Cherry"
346,"Spalted Pecan"
347,"Spalted Pecan"
348,"Spalted Pecan"
349,"Ambrosia Maple"
350,"Box Elder"
351,"Box Elder"
352,"Spalted Maple"
353,"Spalted Maple"
354,"Tulip Poplar"
355,"Spalted Oak"
356,"Cedar"
357,"Box Elder"
358,"Black Walnut"
359,"Black Walnut"
360,"Black Walnut"
361,"Black Walnut"
362,"Cherry"
363,"Box Elder"
364,"Curly Box Elder"
365,"Spalted Tulip Poplar"
366,"Box Elder"
368,"Spalted Maple"
369,"Black Walnut"
370,"Spalted Poplar"
371,"Box Elder"
372,"Cedar"
373,"Tulip Poplar"
374,"Ambrosia Maple"
375,"Camphor"
376,"Red Bud"
377,"Camphor"
378,"Box Elder"
379,"Maple Burl"
380,"Camphor"
381,"Unknown"
382,"Box Elder"
383,"Box Elder"
384,"Cherry"
385,"Cedar"
386,"Cherry"
387,"Cherry"
388,"Cedar"
389,"Cedar"
390,"Black Walnut"
391,"Ebony and Maple"
392,"Ambrosia Maple"
393,"Big Leaf Maple"
394,"Black Walnut"
395,"Box Elder"
396,"Maple"
397,"Box Elder"
398,"Cedar"
399,"Black Walnut"
400,"Black Walnut"
401,"Curly Maple"
402,"Box Elder"
403,"Black Walnut"
404,"Black Walnut"
405,"Pecan"
406,"Box Elder"
407,"Cherry"
408,"Cherry"
409,"Box Elder"
410,"Pecan"
411,"Tulip Poplar"
412,"Cherry"
413,"Maple Burl"
414,"Maple Burl"
415,"Camphor"
416,"Box Elder"
417,"Pecan"
418,"Ambrosia Maple"
419,"Mulberry"
420,"Tulip Poplar"
421,"Ambrosia Maple"
422,"Pecan"
423,"Mesquite"
424,"Pine"
425,"Pecan"
426,"Box Elder"
427,"Box Elder"
428,"Ambrosia Maple"
429,"Ambrosia Maple"
430,"Box Elder"
431,"Pecan"
432,"Box Elder"
433,"Box Elder"
434,"Box Elder"
435,"Black Walnut"
436,"Box Elder"
437,"Box Elder"
438,"Pecan"
439,"Box Elder"
440,"Box Elder"
441,"Box Elder"
442,"Box Elder"
443,"Box Elder "
444,"Cherry "
445,"Box Elder"
446,"Tulip Poplar"
447,"Ambrosia Maple"
448,"Cedar"
449,"Cherry"
450,"Box Elder"
451,"Box Elder"
452,"Spalted Pecan"
453,"Ambrosia Maple"
454,"Ambrosia Maple"
455,"Ambrosia Maple"
456,"Norfork Island Pine"
457,"Spalted Maple"
458,"Redwood"
459,"Pecan"
460,"Maple"
461,"Cherry Burl"
462,"Black Walnut"
463,"Box Elder"
464,"Spalted Maple"
465,"Amboyna Burl and Ebony"
466,"Spalted Pecan"
467,"Ambrosia Maple"
468,"Ambrosia Maple"
469,"Ambrosia Maple"
470,"Ambrosia Maple"
475,"Cedar"
476,"Black Walnut"
477,"Spalted Maple"
478,"Spalted Gum"
479,"Pecan"
480,"Box Elder"
481,"Box Elder"
482,"Box Elder"
483,"Black Walnut"
484,"Black Walnut"
485,"Black Walnut"
486,"Black Walnut"
487,"Black Walnut"
488,"Spalted Ambrosia Maple"
489,"Poplar"
490,"Poplar"
491,"Poplar"
492,"Poplar"
493,"Poplar"
494,"Poplar"
495,"Poplar"
496,"Spalted Ambrosia Maple"
497,"Ambrosia Maple"
498,"Spalted Ambrosia Maple"
499,"Ambrosia Maple"
500,"Box Elder"
501,"Box Elder"
502,"Box Elder"
503,"Sycamore"
504,"Spalted Maple"
505,"Ambrosia Maple"
506,"Box Elder"
507,"Poplar"
508,"Poplar"
509,"Ambrosia Maple"
510,"Poplar"
511,"Cherry"
512,"Box Elder"
513,"Poplar"
514,"Poplar"
515,"Box Elder"
516,"Ambrosia Maple"
517,"Box Elder"
518,"Spalted Maple"
519,"Box Elder"
520,"Spalted Maple"
521,"Cedar"
522,"Box Elder"
523,"Black Walnut"
524,"Pecan"
525,"Cherry"
526,"Camphor"
527,"Spalted Pecan"
528,"Sweet Gum"
529,"Cherry"
530,"Walnut"
531,"Poplar"
532,"Ambrosia Maple"
533,"Box Elder"
534,"Cherry Burl"
535,"Pecan"
536,"Osage Orange"
537,"Spalted Pecan"
538,"Cherry"
539,"Cherry"
540,"Box Elder"
541,"Box Elder"
542,"Sycamore"
543,"Box Elder"
544,"Spalted Maple"
545,"Box Elder"
546,"Box Elder"
547,"Ambrosia Maple"
548,"Poplar"
549,"Red Cedar"
550,"Box Elder"
551,"Box Elder"
552,"Box Elder"
553,"Box Elder"
554,"Sweet Gum"
555,"Ambrosia Maple"
557,"Black Walnut"
558,"Ambrosia Maple"
559,"Black Walnut"
560,"Box Elder"
561,"Black Walnut"
562,"Black Walnut"
563,"Spalted Maple"
564,"Box Elder"
565,"Bleached Box Elder"
566,"Black Walnut"
567,"Pecan"
568,"Black Walnut"
569,"Box Elder"
570,"Box Elder"
571,"Box Elder"
572,"Box Elder"
573,"Cherry"
576,"Box Elder"
577,"Curly Box Elder"
578,"Spalted Sweet Gum"
579,"Box Elder"
580,"Tulip Poplar"
581,"Sycamore"
582,"Sycamore"
583,"Box Elder"
584,"Tulip Poplar"
585,"Sycamore"
586,"Box Elder"
587,"Pecan"
588,"Sycamore"
589,"Box Elder"
590,"Sycamore"
591,"Tulip Poplar"
592,"Box Elder"
593,"Black Walnut"
594,"Box Elder"
595,"Box Elder"
596,"Ambrosia Maple"
597,"Spalted Maple"
598,"Spalted Maple"
599,"Box Elder"
601,"Box Elder"
602,"Sycamore"
603,"Sycamore"
604,"Sycamore"
605,"Cherry"
606,"Tulip Poplar"
607,"Black Walnut "
608,"Cherry"
609,"Black Walnut"
610,"Cherry"
611,"Sweet Gum"
612,"Box Elder"
613,"Box Elder"
614,"Box Elder"
615,"Box Elder"
617,"Sweet Gum"
618,"Box Elder"
620,"Box Elder"
621,"Box Elder"
623,"Poplar"
624,"Black Walnut"
625,"Box Elder "
626,"Box Elder"
627,"Sycamore"
628,"Box Elder"
629,"Cherry"
630,"Sycamore"
631,"Tulip Poplar "
632,"Tulip Poplar"
633,"Box Elder"
634,"Spalted Maple"
635,"Poplar"
636,"Spalted Maple"
637,"Box Elder"
638,"Cherry"
639,"Poplar"
640,"Box Elder"
641,"Black Walnut"
642,"Black Walnut"
643,"Spalted Pecan"
644,"Camphor"
645,"Pecan"
646,"Sycamore"
647,"Spalted Maple"
648,"Box Elder"
649,"Sycamore"
650,"Sycamore"
651,"Box Elder"
652,"Box Elder"
653,"Sycamore"
654,"Sycamore"
655,"Poplar"
656,"Camphor"
657,"Sycamore"
658,"Poplar"
659,"Sycamore"
660,"Cherry"
661,"Cherry"
662,"Sycamore"
663,"Cherry"
664,"Box Elder"
665,"Box Elder"
666,"Black Walnut"
667,"Ambrosia Maple"
668,"Camphor"
669,"Camphor"
670,"Spalted Maple"
671,"Pecan"
672,"Poplar"
673,"Spalted Maple"
674,"Spalted Maple"
675,"Spalted Pecan"
676,"Ambrosia Maple"
677,"Spalted Pecan"
678,"Spalted Maple"
679,"Red Bud"
680,"Box Elder"
681,"Box Elder"
682,"Box Elder"
683,"Box Elder"
684,"Box Elder"
685,"Ambrosia Maple"
686,"Pecan"
687,"Camphor"
688,"Box Elder "
689,"Ambrosia Maple"
690,"Sycamore"
691,"Spalted Poplar"
692,"Box Elder "
693,"Ambrosia Maple"
694,"Poplar"
695,"Ambrosia Maple"
696,"Cherry"
697,"Sycamore"
698,"Cherry"
699,"Poplar"
700,"Ambrosia Maple"
701,"Box Elder"
702,"Box Elder"
703,"Box Elder"
704,"Cherry"
705,"Cherry"
706,"Cherry"
707,"Cherry"
708,"Box Elder w-Doberman Pyrography"
709,"Ambrosia Maple"
710,"Cedar"
711,"Cedar"
712,"Spalted Maple"
713,"Box Elder"
714,"Red Bud"
715,"Spalted Pecan"
716,"Spalted Tulip Poplar"
717,"Black Oak"
718,"Red Bud"
719,"Spalted Maple"
720,"Box Elder"
721,"Spalted Maple"
722,"Red Bud"
723,"Spalted Box Elder"
724,"Spalted Maple"
725,"Spalted Maple"
726,"Spalted Maple"
727,"Spalted Maple"
728,"Spalted Pecan "
729,"Box Elder"
730,"Spalted Box Elder"
731,"Box Elder"
732,"Red Bud"
733,"Red Bud"
734,"Spalted Pecan"
735,"Sycamore"
736,"Pecan"
737,"Spalted Maple"
738,"Ambrosia Maple"
739,"Spalted Maple"
740,"Box Elder"
741,"Cherry"
742,"Spalted Maple"
743,"Spalted Sweet Gum"
744,"Silver Maple"
745,"Box Elder"
746,"Spalted Maple"
747,"Tulip Poplar"
748,"Spalted Maple"
749,"Cherry"
750,"Butternut"
751,"Spalted Maple"
752,"Butternut"
753,"Butternut"
754,"Butternut"
755,"Ambrosia Maple"
756,"Box Elder"
757,"Spalted Ambrosia Maple"
758,"Pecan"
759,"Maple Burl"
760,"Spalted Maple"
761,"Spalted Maple"
762,"Black Walnut"
763,"Ambrosia Maple"
764,"Box Elder"
765,"Cherry"
766,"Black Walnut "
767,"Spalted Maple"
768,"Box Elder"
769,"Box Elder"
770,"Box Elder"
771,"Box Elder"
772,"Black Walnut"
773,"Spalted Maple"
774,"Spalted Maple"
775,"Black Oak"
776,"Poplar"
777,"Pecan"
778,"Ambrosia Maple"
779,"Box Elder"
780,"Sweet Gum"
781,"Butternut"
782,"Ambrosia Maple"
783,"Black Walnut"
784,"Spalted Maple"
785,"Ambrosia Maple"
786,"Ambrosia Maple"
787,"Sycamore"
788,"Silver Maple"
789,"Box Elder"
790,"Spalted Maple"
791,"Ambrosia Maple"
792,"Ambrosia Maple"
793,"Box Elder"
794,"Box Elder"
795,"Ambrosia Maple"
797,"Cedar"
798,"Maple Burl"
799,"Cedar"
800,"Sweet Gum"
801,"Spalted Maple"
802,"Box Elder"
803,"Box Elder"
804,"Maple Burl"
805,"Tulip Poplar"
807,"Cherry"
808,"Cherry"
809,"Spalted Maple"
810,"Cherry"
811,"Bradford Pear"
812,"Cedar"
813,"Cherry"
814,"Tulip Poplar"
815,"Ambrosia Maple"
816,"Sycamore"
817,"Spalted Maple"
818,"Ambrosia Maple"
819,"Box Elder"
820,"Spalted Maple"
821,"Box Elder"
822,"Ambrosia Mapel"
823,"Ambrosia Maple"
824,"Spalted Ambrosia Maple"
825,"Sycamore"
826,"Maple"
827,"Spalted Ambrosia Maple"
828,"Ambrosia Maple"
829,"Ambrosia Maple"
830,"Ambrosia Maple"
831,"Box Elder"
832,"Sycamore"
833,"Ambrosia Maple"
834,"Mulberry"
835,"Sweet Gum"
836,"Tulip Poplar"
837,"Box Elder"
838,"Box Elder"
839,"Box Elder"
840,"Ambrosia Maple"
841,"Silver Maple"
842,"Silver Maple"
843,"Ambrosia Maple"
844,"Bradford Pear"
845,"Ambrosia Maple"
846,"Camphor"
847,"Pecan"
848,"Spalted Maple"
849,"Box Elder "
850,"Box Elder"
851,"Ambrosia Maple"
852,"Ambrosia Maple"
853,"Box Elder"
854,"Box Elder"
855,"Butternut"
856,"Sycamore"
857,"Pecan"
858,"Pecan"
859,"Ambrosia Maple"
860,"Cherry"
861,"Cherry"
862,"Wormy Driftwood (unknown)"
863,"Spalted Maple"
864,"Black Wulnut"
865,"Box Elder"
866,"Cedar"
867,"Cherry"
868,"Sycamore"
869,"Tulip Poplar"
870,"Ambrosia Maple"
871,"Spalted Maple"
872,"Cherry"
873,"Box Elder"
874,"Box Elder"
875,"Cherry"
876,"Sycamore"
877,"Ambrosia Maple Burl"
878,"Box Elder"
879,"Spalted Pecan"
880,"Sycamore"
881,"Cherry"
882,"Cherry"
883,"Sycamore"
884,"Ambrosia Maple Burl"
885,"Box Elder"
886,"Box Elder"
887,"Ambrosia Maple Burl"
888,"Butternut"
889,"Tulip Poplar"
890,"Box Elder"
891,"Spalted Tulip Poplar"
892,"Box Elder"
893,5
894,"Box Elder "
895,"Cedar"
896,"Box Elder"
897,"Ambrosia Maple"
898,"Cherry"
899,"Silver Maple"
900,"Silver Maple"
901,"Camphor"
902,"Box Elder"
903,"Spalted Maple"
904,"Ambrosia Maple"
905,"Bradford Pear"
906,"Sweet Gum"
907,"Sweet Gum"
908,"Sweet Gum"
909,"Sycamore"
910,"Box Elder"
911,"Sweet Gum"
912,"Box Elder"
913,"Silver Maple"
914,"Ambrosia Maple"
915,"Maple Burl"
916,"Chittum Burl"
918,"Maple Burl"
919,"Pecan Burl with Gold Mica Inlay"
920,"Box Elder"
921,"Pear"
922,"Sweet Gum"
923,"Spalted Maple"
924,"Silver Maple"
925,"Bradford Pear"
926,"Box Elder"
927,"Spalted Maple"
928,"Ambrosia Maple"
929,"Spalted Maple"
930,"Camphor"
931,"Pine"
932,"Black Walnut"
933,"Cherry"
934,"Cherry"
935,"Spalted Maple"
936,"Cherry"
937,"Box Elder"
938,"Pecan Burl"
939,"Tulip Poplar"
940,"Spalted Maple"
941,"Cherry"
942,"Bradford Pear"
943,"Spalted Pecan"
944,"Cherry"
945,"Tulip Poplar"
946,"Ambrosia Maple"
947,"Maple Burl"
948,"Ambrosia Maple"
949,"Pecan"
950,"Pecan"
951,"Box Elder"
952,"Pecan"
953," Cherry"
954,"Pecan"
955,"Sycamore"
956,"Pecan"
957,"Ambrosia Maple"
958,"Camphor"
959,"Sycamore with Bronze & Copper Pomice"
960,"Ambrosia maple"
961,"Butternut"
962,"Tulip Poplar"
963,"Box Elder"
964,"Ambrosia Maple"
965,"Ambrosia Maple"
966,"Box Elder"
967,"Pecan Burl"
968,"Ambrosia Maple"
969,"Spalted Pecan"
970,"Cherry"
971,"Ambrosia Maple"
972,"Ambrosia Maple"
973,"Ambrosia Maple"
974,"Pecan"
975,"Ambrosia Maple"
976,"Box Elder"
977,""
978,"Black Walnut"
979,"Box Elder"
980,"Maple Burl"
981,"Ambrosia Maple"
982,"Ambrosia Maple"
983,"Box Elder"
984,"Ambrosia Maple"
985,"Maple Burl"
986,"Maple Burl"
987,"Box Elder"
988,"Tulip Poplar"
989,"Ambrosia Maple"
990,"Ambrosia Maple"
991,"Spalted Ambrosia Maple"
992,"Cherry"
993,"Tulip Poplar"
994,"Box Elder"
995,"Pecan"
996,"Maple Burl"
997,"Ambrosia Maple"
998,"Black Walnut"
999,"Camphor"
1000,"Ambrosia Maple"
1001,"Sycamore"
1002,"Box Elder"
1003,"Cherry"
1004,"Pecan"
1005,"Tulip Poplar"
1006,"Spalted Sycamore"
1007,"Ambrosia Maple "
1008,"Black Walnut"
1009,"Camphor"
1010,"Silver Maple"
1011,"Box Elder"
1012,"Bradford Pear"
1013,"Bleached Ambrosia Maple"
1014,"Maple Burl"
1015,"Box Elder"
1016,"Ambrosia Maple with Gold Mica "
1017,"Ambrosia Maple"
1018,"Ambrosia Maple"
1019,"Camphor"
1020,"Black Walnut"
1021,"Tulip Poplar"
1022,"Spalted Maple"
1023,"Tulip Poplar"
1024,"Cherry"
1025,"Spalted Pecan"
1026,"Spalted Oak"
1027,"Tulip Poplar"
1028,"Box Elder"
1029,"Silver Maple"
1030,"Cherry"
1031,"Spalted Pecan"
1032,"Spalted Pecan"
1033,"Pecan"
1034,"Pecan"
1035,"Cherry"
1036,"Silver Maple"
1037,"Silver Maple"
1038,"Box Elder"
1039,"Tulip Poplar"
1040,"Spalted Maple"
1041,"Spalted Maple"
1042,"Spalted Maple"
1043,"Tulip Poplar"
1044,"Box Elder"
1045,"Spalted Sycamore with Feathers Pyrography"
1046,"Pecan"
1047,"Cherry"
1048,"Spalted Maple"
1049,"Cherry"
1050,"Spalted Maple"
1051,"Cherry"
1052,"Red Oak Burl"
1053,"Maple Burl"
1054,"Spalted Maple"
1055,"Red Oak Burl"
1056,"Black Jack Oak"
1057,"Tulip Poplar"
1058,"Spalted Maple"
1059,"Sycamore"
1060,"Cherry"
1061,"Spalted Maple"
1062,"Box Elder"
1063,"Ambrosia Maple"
1064,"Pecan with Tree of Life Carving"
1065,"Pecan"
1066,"Bleached Ambrosia Maple"
1067,"Ambrosia Maple"
1068,"Black Jack Oak"
1069,"Spalted Pecan"
1070,"Spalted Pecan"
1071,"Cherry"
1072,"Spalted Pecan"
1073,"Spalted Maple"
1074,"Spalted Maple/ Gold Mica"
1075,"Black Jack Oak"
1076,"Black Jack Oak"
1077,"Spalted Maple"
1078,"Spalted Maple"
1079,"Sycamore"
1080,"Sweet Gum"
1081,"Tulip Poplar"
1082,"Spalted Maple"
1083,"Sycamore"
1084,"Maple Burl"
1085,"Spalted Maple"
1086,"Box Elder"
1087,"Sycamore"
1088,"Red Oak Burl"
1089,"Black Jack Oak"
1090,"Box Elder"
1091," Cherry"
1092,"Cherry"
1093,"Spalted Maple"
1094,"Spalted Maple"
1095,"Tulip Poplar"
1096,"Box Elder"
1097,"Hickory"
1098,"Sycamore"
1099,"Cherry"
1100,"Ambrosia Maple "
1101,"Pecan"
1102,"Ambrosia Maple"
1103,"Box Elder"
1104,"Spalted Maple"
1105,"Curly Maple"
1106,"Ambrosia Maple"
1107,"Silver Maple"
1108,"Box Elder"
1109,"Sycamore"
1110,"Ambrosia Maple"
1111,"Silver Maple"
1112,"Spalted Pecan"
1113,"Ambrosia Maple"
1114,"Ambrosia Maple"
1115,"Ambrosia Maple"
1116,"Pecan"
1117,"Box Elder"
1118,"Black Walnut"
1119,"Spalted Maple"
1120,"Ambrosia Maple"
1121,"Butternut"
1122,"Box Elder"
1123,"Ambrosia Maple"
1124,"""Bee Tree"" Camphor"
1125,"Cherry Burl with Malachite Inlay"
1126,"Black Walnut"
1127,"Black Walnut"
1128,"Cherry"
1129,"Box Elder"
1130,"Box Elder"
1131,"Red Oak Burl"
1132,"Red Oak Burl"
1133,"Box Elder"
1134,"Box Elder"
1135,"Cedar"
1136,"Spalted Maple"
1137,"Spalted Maple"
1138,"Box Elder"
1139,"Spalted Tulip Poplar"
1140,"Spalted Maple"
1141,"Pecan"
1142,"Cherry"
1143,"Sycamore"
1144,"Pecan w/ Malachite Inlay"
