"id","material"
1265,"Camphor"
1266,"Tulip Poplar"
1267,"Spalted Maple"
1268,"Spalted Maple"
1269,"Spalted Maple"
1270,"Butternut"
1271,"Box Elder"
1272,"Tulip Poplar"
1273,"Sycamore"
1274,"Cherry"
1275,"Tulip Poplar"
1277,"Black Walnut"
1278,"Spalted Sycamore"
1279,"Curly Maple"
1280,"Box Elder"
1281,"Box Elder"
1282,"Box Elder"
1283,"Box Elder"
1284,"Box Elder"
1285,"Box Elder"
1286,"Curly Box Elder"
1287,"Box Elder"
1288,"Box Elder"
1289,"Box Elder"
1290,"Box Elder"
1291,"Box Elder"
1292,"Box Elder"
1293,"Box Elder "
1294,"Cherry w-Carnellian Stone Inlay"
1295,"Sycamore"
1296,"Vermont Maple"
1297,"Box Elder"
1298,"Vermont Maple"
1299,"Beech"
1300,"Black Walnut"
1301,"Red Oak Burl"
1302,"Pecan"
1303,"Magnolia"
1304,"Camphor"
1305,"Red Oak Burl"
1306,"Box Elder with Hand Carved Rose"
1307,"Ambrosia Maple Burl"
1308,"Camphor"
1309,"Box Elder w-Carnelian Inlay"
1310,"Maple Burl"
1311,"Black Walnut w-Catacombs Pyro Flange"
1312,"Tulip Poplar"
1313,"Tulip Poplar"
1314,"Spalted Maple"
1315,"Spalted Beech"
1316,"Cherry with Catacombs Pyrography "
1317,"Pecan"
1318,"Ambrosia Maple"
1319,"Ambrosia Maple"
1320,"Spalted Beech"
1321,"Black Walnut"
1322,"Red Oak Burl"
1323,"Cedar"
1324,"Sycamore & Black Walnut Burl"
1325,"Eucalyptus"
1326,"Magnolia"
1327,"Ambrosia Maple Burl w-Chrysocola Inlay"
1328,"Deodara Cedar"
1329,"Ambrosia Maple Burl w-Malachite Inlay"
1330,"Red Oak Burl"
1331,"Test Wood"
1332,"Box Elder"
1333,"Maple Burl"
1334,"Red Oak Burl"
1335,"Maple Burl"
1336,"Sycamore"
1337,"Spalted Pecan"
1338,"Camphor"
1339,"Spalted Beech"
1340,"Spalted Pecan"
1341,"Tulip Poplar"
1342,"Black Walnut"
1343,"Cherry"
1344,"Box Elder"
1345,"Sycamore"
1346,"Tulip Poplar"
1347,"Cherry"
1348,"Box Elder"
1349,"Cherry"
1350,"Cherry "
1351,"Cherry"
1352,"Box Elder"
1353,"Cherry"
1354,"Sycamore"
1355,"Cherry"
1356,"Beech"
1357,"Box Elder"
1358,"Flame Embellished Ash"
1359,"Cherry"
1360,"Cherry Burl with Malachite Inlay"
1361,"Ambrosia Maple"
1362,"Cherry"
1363,"Cherry"
1364,"Cherry"
1365,"Cherry"
1366,"Southern Magnolia w-Magnolia Bloom Carving"
1367,"Red Oak Burl"
1368,"Spalted Maple Burl"
1369,"Spalted Beech"
1370,"Ambrosia Maple"
1371,"Box Elder"
1372,"Spalted Beech"
1373,"Spalted Beech"
1374,"Ambrosia Maple"
1375,"Box Elder"
1376,"Box Elder"
1377,"Spalted Pecan"
1378,"Florida Mahogany"
1379,"Box Elder"
1380,"Box Elder"
1381,"Box Elder"
1382,"Southern Yellow Pine"
1383,"Sycamore"
1384,"Magnolia"
1385,"Red Oak Burl"
1386,"Ambrosia Maple"
1387,"Red Oak Burl"
1388,"Spalted Maple Burl"
1389,"Magnolia with Custom Flange"
1390,"Sycamore with Dogwood Blossom Flange"
1391,"Box Elder"
1392,"Cedar"
1393,"Cedar"
1394,"Box Elder"
1395,"Ambrosia Maple"
1396,"Silver Maple with Maple Leaves Carving"
1397,"Eucalyptus"
1398,"Box Elder"
1399,"Cherry"
1400,"Cherry"
1401,"Ambrosia Maple"
1402,"Red Oak Burl"
1403,"Box Elder"
1404,"Box Elder"
1405,"Ambrosia Maple Burl"
1406,"Box Elder"
1407,"Ambrosia Maple Burl"
1408,"Ambrosia Maple"
1409,"Black Walnut"
1410,"Sycamore"
1411,"Sycamore"
1412,"Sycamore"
1413,"Cherry"
1414,"Pecan"
1415,"American Black Walnut"
1416,"Bleached Ambrosia Maple"
1417,"Box Elder"
1418,"Ambrosia Maple"
1419,"Eucalyptus"
1420,"Sycamore"
1421,"Curly Magnolia"
1422,"Magnolia"
1423,"Cedar"
1424,"Box Elder"
1425,"Black Walnut"
1426,"Cherry"
1427,"Ambrosia Maple"
1428,"Ambrosia Maple Burl"
1429,"Tulip Poplar"
1430,"Box Elder"
1431,"Ambrosia Maple"
1432,"Ambrosia Maple"
1433,"Tulip Poplar"
1434,"Deodara Cedar"
1435,"Eucalyptus with Mica Inlay"
1436,"Box Elder"
1437,"Cedar"
1438,"Ambrosia Maple"
1439,"Ambrosia Maple"
1440,"Cedar"
1441,"Cherry"
1442,"Sycamore"
1443,"Cherry"
1444,"Ambrosia Maple"
1445,"Ambrosia Maple"
1446,"Pecan"
1447,"Spalted Maple"
1448,"Black Walnut"
1449,"Box Elder"
1450,"Box Elder"
1451,"Ambrosia Maple Burl"
1452,"Ambrosia Maple"
1453,"Camphor"
1454,"Birds Eye Maple"
1455,"Box Elder"
1456,"Black Walnut"
1457,"Box Elder"
1458,"Cherry"
1459,"Box Elder"
1460,"Cedar"
1461,"Cherry"
1462,"Cherry"
1463,"Ambrosia Maple"
1464,"Cherry"
1465,"Magnolia"
1466,"Ambrosia Maple Burl with Turquoise Inlay"
1467,"Box Elder"
1468,"Box Elder"
1469,"Box Elder"
1470,"Box Elder"
1471,"Box Elder"
1472,"Cedar"
1473,"Cedar"
1474,"Cedar"
1475,"Cedar"
1476,"Black Walnut"
1477,"Spalted Maple Burl"
1478,"Box Elder"
1479,"Bradford Pear"
